program_name,company_name,program_id,category,reward,status,asp
ハイブリッド生ごみ処理機【NAXLU（ナクスル）】,株式会社伝然,16594,雑貨・家庭用品 株式会社伝然 ハイブリッド生ごみ処理機【NAXLU（ナクスル）】,"商品購入(リピートも成果対象) 5,922円（税込） ポイント付与上限：3000円まで",未提携,afb
【タダ電】WEB申込完了,株式会社エスエナジー,16575,電力 株式会社エスエナジー 【タダ電】WEB申込完了,"WEB申込完了 3,383円（税込） ポイントサイト：WEB申込完了後、供給開始 5,076円(税込) ※ポイント付与上限：なし",未提携,afb
浮気・不貞調査なら【うな探偵社】,株式会社OK,,,"初回申込後、本人確認完了 27,922円（税込） ※電話・メール共に計測対象です",,afb
オンライン心療内科【mentoa（メントア）】,エキサイト株式会社,,,"新規診察完了 6,345円（税込）",,afb
まず会いたい人で集まる体験型マッチングアプリ【MATCH SPOT（マッチスポット）】,株式会社イチロク,,,"新規会員登録 ┗女性：：1,152円(税込)┗男性：：1,537円(税込)",,afb
大人のおもちゃ【通販大魔王】,有限会社アットプランニング,16576,成人向け商品 有限会社アットプランニング 大人のおもちゃ【通販大魔王】,商品購入 13.53％（税込） ※リピート購入OK,未提携,afb
ピラティス・ホットヨガレッスンなら【Lafimo（ラフィモ）】,株式会社ラストウェルネス,,,"来店完了 4,230円（税込）",,afb
ホワイトセージ 浄化スプレー【LUCAS（ルカス）】,株式会社アーシスト,16577,雑貨・家庭用品 株式会社アーシスト ホワイトセージ 浄化スプレー【LUCAS（ルカス）】,商品購入 11％（税込） ※リピート購入OK,未提携,afb
＜CPF＞リゾートバイト 日本の旅館でおもてなし【OMOTENA（オモテナ）】,株式会社スタッフエージェント,,,LINE友だち登録 220円（税込）,,afb
事故物件の買取なら【成仏不動産の正しい買取】,マークスライフ株式会社,,,"WEBもしくは電話からの新規申込後、査定依頼完了 22,000円（税込）",,afb
＜インセンティブメディア専用＞ポケットリサーチ_モニター案件申込み完了（※男性限定）,株式会社トライエ,16452,ポイントサイト 株式会社トライエ ＜インセンティブメディア専用＞ポケットリサーチ_モニター案件申込み完了（※男性限定）,"新規オンラインセミナー参加後、モニター案件申込み完了（※女性限定） 10,153円（税込）",未提携,afb
スキマ時間に美女とデートできるマッチングサービス【スキマデート】,UnizonX株式会社,,,LINE友だち登録 845円（税込）,,afb
センサー式スマートゴミ箱【Smartowner（スマートオーナー）】,中宏商事株式会社,16462,雑貨・家庭用品 中宏商事株式会社 センサー式スマートゴミ箱【Smartowner（スマートオーナー）】,商品購入 12.65％（税込） ※リピート購入OK ※ポイント付与上限：購入額の10％まで,未提携,afb
3Dキャラクターをわずか数秒でAIが生成【TRIPO AI（トリポ エーアイ）】,北京哇嘶&#21970;科技有限公司,,,初回購入 29.59％（税込）,,afb
電話1本で最適＆最安の引越しを！【JOBFIT Superior（ジョブフィットスーペリア）】,エフエルシープレミアム株式会社,16474,その他 エフエルシープレミアム株式会社 電話1本で最適＆最安の引越しを！【JOBFIT Superior（ジョブフィットスーペリア）】,"初回利用完了 6,768円（税込） ポイント付与上限：3000円まで",未提携,afb
女性向けアダルトグッズ・大人のおもちゃ通販【CIAOMO】,株式会社ニジューヨン・ビムーンズ,16475,成人向け商品 株式会社ニジューヨン・ビムーンズ 女性向けアダルトグッズ・大人のおもちゃ通販【CIAOMO】,商品購入(リピート購入も対象) 11％（税込）,未提携,afb
ケアビューティストを目指すなら【介護美容研究所】,株式会社ミライプロジェクト,,,"資料請求後、通電確認にて承認 1,861円(税込)",,afb
梅酒蔵【おおやま夢工房】梅酒通販サイト,株式会社おおやま夢工房,16490,その他飲料 株式会社おおやま夢工房 梅酒蔵【おおやま夢工房】梅酒通販サイト,初回購入 8.36％（税込） 【ポイントサイト成果地点】 クレジットカードでの購入完了(代引き不可),未提携,afb
eスポーツを本格的に学ぶなら【AFRAS（アフラス）】,株式会社アグニス,16496,塾・家庭教師 株式会社アグニス eスポーツを本格的に学ぶなら【AFRAS（アフラス）】,"新規入会 6,345円（税込）",未提携,afb
AI副業・キャリアアップを目指す社会人のためのAIスクール【東京AIスクール】,株式会社ダイキリパートナーズ,,,"面談完了 16,922円（税込） ポイントサイト 成果地点：契約 ポイント付与上限なし",,afb
【キューモニター】新規会員登録後、アンケート回答,株式会社インテージ,16500,コミュニティサイト 株式会社インテージ 【キューモニター】新規会員登録後、アンケート回答,新規会員登録後、1週間以内に期間限定アンケートの中から1本以上のアンケート回答 （本登録アンケートを除く） 110円（税込）,未提携,afb
高画質・高機能なホームシアター向けプロジェクター【XGIMI（エクスジミー）】,XGIMI株式会社,16504,AV・家電 XGIMI株式会社 高画質・高機能なホームシアター向けプロジェクター【XGIMI（エクスジミー）】,商品購入 4.18％（税込） ※リピート購入OK,未提携,afb
出張買取あきなや 買取完了,Treead株式会社,16447,買取 Treead株式会社 出張買取あきなや 買取完了,"新規ユーザーの買取成立完了 2,115円（税込）",未提携,afb
リゾートバイト 日本の旅館でおもてなし【OMOTENA（オモテナ）】,株式会社スタッフエージェント,,,"新規会員登録後、WEB面談完了 6,600円（税込）",,afb
本物の英語コーチング【AUTHENTECH（オーセンテック） by アルク】,株式会社アルク,,,"WEB予約後、無料カウンセリング完了 8,461円（税込）",,afb
中古ブランド品販売サイト【NUIR VINTAGE（ヌア ヴィンテージ）】,ペンギントレード株式会社,16509,その他 ペンギントレード株式会社 中古ブランド品販売サイト【NUIR VINTAGE（ヌア ヴィンテージ）】,購入(リピートも成果対象) 4.73％（税込）,未提携,afb
水回りトラブル業界最安値に挑戦中！【水まわりドクター24】,株式会社Lupus,,,"新規お問合せ完了（フォーム／電話） 3,383円（税込）",,afb
有名作品とコラボした浮世絵木版画の通販サイト【浮世絵工房】,T's brain株式会社,,,商品購入 ※リピート購入OK 1.65％（税込）,,afb
クロスゲインを配合した男性向け精力サプリ【DANKATSU（ダンカツ）】,株式会社デイワン,,,"新規購入完了 2,115円（税込）",,afb
トリプル処方美味しい口づけタブレット【メディカルブレス】,株式会社メディカルワン,,,"新規購入完了 1,861円（税込）",,afb
パーソナルマシンピラティス【Dee Pilates（ディーピラティス）】,トーキョーフィットネス株式会社,,,"WEBからの初回予約後、無料体験完了 10,576円（税込） ※2026年5月1日～ 「WEBからの初回予約後、新規体験後の入会」へ変更 《ポイントサイト》 新規体験後の入会 10,576円(税込)",,afb
パーソナルジム【Dee GYM（ディージム）】,トーキョーフィットネス株式会社,,,"WEBからの初回予約後、無料体験完了 10,576円（税込） 《ポイントサイト》 新規体験後の入会 10,576円(税込)",,afb
[スマートフォン専用]【TikTok Shop】「探して買う」から「見つけて買う」ショート動画×ECの新たな体験,"Bytedance Co., Ltd.",,,商品購入 ※成果発生まで最大1日前後のタイムラグが発生します。 毎月の特別報酬期間については、プロモーション説明文に随時反映しておりますので、 赤字部分をご確認いただけますと幸いです。 新規：21.12％（税込）リピート：9.35％（税込）,,afb
自由に選べる新月額制フィットネスマーケット【FitFits（フィットフィッツ）】,株式会社hacomono,16526,フィットネス 株式会社hacomono 自由に選べる新月額制フィットネスマーケット【FitFits（フィットフィッツ）】,"14日間の無料利用開始 1,015円（税込）",未提携,afb
距離で支払うマイカーリース【エンキロ】,DRD4株式会社,16528,車検・車買取査定・購入 DRD4株式会社 距離で支払うマイカーリース【エンキロ】,"WEBより新規仮審査申込後、30日以内の保証会社の仮審査通過 15,384円（税込）",未提携,afb
[PC専用]Arknights:Endfield（アークナイツ エンドフィールド）,Hypergryph,,,"ゲームダウンロード後、新規アカウント開設 2,750円（税込） ※成果対象はPC（Windows）からの流入のみとなります",,afb
医療ダイエット・痩身専門クリニック【DIOクリニック（ディオクリニック）】,ファンネルアド株式会社,,,"WEB予約完了 12,691円（税込）",,afb
【ロケットモバイル】業界最安級！格安SIM,株式会社ロケットモバイル,10951,SIM 株式会社ロケットモバイル 【ロケットモバイル】業界最安級！格安SIM,"新規申込後、初月の利用料金の支払い完了 ┗データプラン 1,015円（税込） ┗通話プラン：1,691円(税込)",未提携,afb
話題のメンズ脱毛サロン　ローランドビューティーラウンジ【RBL】,株式会社メディビューティー,,,"WEB申込後来店 8,461円（税込）",,afb
浮気についてお悩みの方へ【探偵の窓口】,次世代支援機構株式会社,,,"WEB申込後、本人確認完了 15,383円（税込）",,afb
【予算上限あり】日々の業務に役立つ動画が無料で見放題【bizplay（ビズプレイ）】,株式会社innovation&Co.,,,新規無料会員登録 168円（税込）,,afb
BL同人作品DL販売サイト（同人誌、コミック、ボイス） 【らぶカル】　初回購入完了,株式会社デジタルコマース,,,"初回購入完了 2,030円（税込）",,afb
ネットで引ける限定オリパ【ALPHAのオリパ】,株式会社カモガワ,,,新規会員登録後、ポイント初回購入 716円（税込） ※以下ルートは計測対象外となりますので予めご了承ください。 ・新規会員登録時、ユーザーがデバイス・ブラウザを変えてCV ・銀行振込を選択したCV,,afb
【Aladdin X（アラジン エックス）】家庭用スマートプロジェクター,Aladdin X株式会社,16379,AV・家電 Aladdin X株式会社 【Aladdin X（アラジン エックス）】家庭用スマートプロジェクター,商品購入 4.18％（税込） ※リピート購入OK ※ポイント付与上限：購入額の3.8％まで,未提携,afb
お芋がもっと好きになる【金之助】,株式会社たんぽぽファーム,16382,食品・産直品 株式会社たんぽぽファーム お芋がもっと好きになる【金之助】,商品購入(リピートも成果対象) 8.36％（税込）,未提携,afb
不用品回収ラクエコ サービス利用完了,不用品回収ラクエコ,,,"新規取引完了 7,191円（税込）",,afb
【Tクリニック】黄金比クマ取り,一般社団法人良貢会,,,"WEBからのカウンセリング予約後、初回来院 13,537円（税込）",,afb
理想に出会える既婚者マッチングアプリ【既婚リンク】,サードプレイス株式会社,,,新規会員登録完了 845円（税込）,,afb
モルテン公式オンラインショップ【molten】,株式会社モルテン,16398,趣味・スポーツ 株式会社モルテン モルテン公式オンラインショップ【molten】,購入(リピートも成果対象) 4.18％（税込）,未提携,afb
固定電話番号がスマホのアプリでも電話機でも使える！【03plus（ゼロサンプラス）】,株式会社グラントン,16404,BtoB 株式会社グラントン 固定電話番号がスマホのアプリでも電話機でも使える！【03plus（ゼロサンプラス）】,"WEBからの新規申込完了 2,200円（税込） ※ポイント付与上限：2000円まで",未提携,afb
あなたを変えるパーソナルトレーニング【KARADABESTA（カラダビスタ）】,RILISIST株式会社,,,"WEBからの無料体験予約後、初回来店 7,022円（税込） ▼ポイントサイト条件 初回来店後の入会 29,615円(税込)",,afb
BREST PILATES & BODYMAKE　新規会員獲得プロモーション,株式会社VB NEXT,,,"新規来店 12,691円（税込）",,afb
同性愛者（ゲイ/レズビアン）の真面目な出会いをサポート【リザライ】,株式会社リザライ,16413,出会い 株式会社リザライ 同性愛者（ゲイ/レズビアン）の真面目な出会いをサポート【リザライ】,"WEBサイトからの申込完了 無料お相手シミュレーション 1,100円（税込） 来店ご相談予約：1,100円(税込)",未提携,afb
人生を変える結婚相談所【つむぐ】,株式会社ミライラボ,16435,結婚相談・婚活 株式会社ミライラボ 人生を変える結婚相談所【つむぐ】,"WEBからの問合せ後、入会 16,922円(税込) ↓ ↓スタートアップ報酬 ↓ ↓※稼働から3ヶ月間 WEBからの問合せ後、入会 33,845円（税込）",未提携,afb
保険の見直し・無料相談なら【ほけんの110番】,株式会社ほけんの110番,,,"無料相談初回申込後、面談完了 12,691円（税込）",,afb
水のトラブル即解決・24時間365日即対応【イーライフ水道サービス】,株式会社イーライフグループ,,,"新規お問合せ完了（WEB／電話） 3,383円（税込）",,afb
スマートリング【RINGCONN】,Onovo Technology(HongKong)Limited,16421,ボディケア Onovo Technology(HongKong)Limited スマートリング【RINGCONN】,商品購入 6.71％（税込） ※リピート購入OK,未提携,afb
オンラインWebスクール【WEBCOACH（ウェブコーチ）】,株式会社アップグレード,,,"新規無料カウンセリング参加完了 6,600円（税込） ポイントサイト様条件：入会完了 46,537円(税込)",,afb
タイヤホイール売るなら【タイヤ買取ナンバーワン】,株式会社カイショー,16422,買取 株式会社カイショー タイヤホイール売るなら【タイヤ買取ナンバーワン】,"成約完了 ※異なる月であればリピート申込OK 2,420円（税込）",未提携,afb
最先端生成AI 3D プラットフォーム【Meshy AI（メッシーエーアイ）】,MESHY LLC.,16427,その他 MESHY LLC. 最先端生成AI 3D プラットフォーム【Meshy AI（メッシーエーアイ）】,初回購入 16.83％（税込）,未提携,afb
【出張買取ウリエル】お酒買取,株式会社クオーレ,16225,買取 株式会社クオーレ 【出張買取ウリエル】お酒買取,"WEBからの新規無料査定依頼 4,230円（税込） ポイントサイト 買取金額10,000円以上の成約／WEBより無料査定依頼後、30日以内の出張買取完了時点",未提携,afb
ホテル旅館予約なら【travelist（トラベリスト）】＜宿泊予約＞,株式会社アップルワールド,16177,旅行 株式会社アップルワールド ホテル旅館予約なら【travelist（トラベリスト）】＜宿泊予約＞,"WEB予約後、入金完了 2,200円（税込） ※リピート申込OK ※ポイント付与上限：2000円まで",未提携,afb
格安航空券・飛行機・LCC＋ホテルのセット予約なら【travelist（トラベリスト）】＜宿泊＋航空チケット予約＞,株式会社アップルワールド,16178,旅行 株式会社アップルワールド 格安航空券・飛行機・LCC＋ホテルのセット予約なら【travelist（トラベリスト）】＜宿泊＋航空チケット予約＞,"WEB予約後、入金完了 2,200円（税込） ※リピート申込OK ※ポイント付与上限：2000円まで",未提携,afb
格安航空券・飛行機・LCCの予約なら【travelist（トラベリスト）】＜国内航空券＞,株式会社アップルワールド,16179,旅行 株式会社アップルワールド 格安航空券・飛行機・LCCの予約なら【travelist（トラベリスト）】＜国内航空券＞,"WEB予約後、入金完了 3,520円（税込） ※リピート申込OK ※ポイント付与上限：2000円まで ・複数枚購入した場合も成果報酬は一律 ・対象サービス：【国内格安航空券】からの予約のみ",未提携,afb
【Yourdoll（ユアドール）】ラブドール正規販売店,"WANGRUI GROUP(HONGKONG)CO.,LIMITED",,,商品購入 3.3％（税込） ※リピート購入OK,,afb
国内最大級のキャンピングカーレンタル【JAPAN ROAD TRIP（ジャパンロードトリップ）】,株式会社エアサポ,16185,レンタカー 株式会社エアサポ 国内最大級のキャンピングカーレンタル【JAPAN ROAD TRIP（ジャパンロードトリップ）】,"キャンピングカー予約後、車両返却完了 3,383円（税込） ※リピート利用OK ※お問い合わせフォームからの予約のみ成果対象 LINE・電話・予約フォームからのお申込は成果対象外となります",未提携,afb
豊富な取扱いブランド！ブランドオフ公式通販【BRAND OFF】,株式会社K-ブランドオフ,16193,買取 株式会社K-ブランドオフ 豊富な取扱いブランド！ブランドオフ公式通販【BRAND OFF】,購入完了(リピートも成果対象) 4.18％（税込）,未提携,afb
【クローズド】,株式会社サイバーランド,,,"新規申込完了 6,768円（税込）",,afb
プロと始める「逆転就活」【新卒就職エージェントneo】,株式会社ネオキャリア,,,"面談実施 16,500円（税込）",,afb
オンリーワンステップ美容液【ハリッチプレミアムリッチプラス】,株式会社N-LaBo,16202,スキンケア 株式会社N-LaBo オンリーワンステップ美容液【ハリッチプレミアムリッチプラス】,"新規商品購入完了 10,153円（税込）",未提携,afb
針入りほうれい線用クリーム【L Shot　リッチクリーム】,株式会社N-LaBo,16203,スキンケア 株式会社N-LaBo 針入りほうれい線用クリーム【L Shot リッチクリーム】,"新規商品購入完了 10,153円（税込）",未提携,afb
海外旅行のおすすめeSIM！格安・もっと便利に！【eSIM-san（イーシムさん）】,株式会社グランシー,16205,SIM 株式会社グランシー 海外旅行のおすすめeSIM！格安・もっと便利に！【eSIM-san（イーシムさん）】,プラン購入後、30日以内の入金確認 16.5％（税込） ※リピート利用OK ※ポイント付与上限：購入額の10％まで,未提携,afb
24時間365日ポケカのネットオリパが楽しめる【ポケパ365】,三河デザイン合同会社,16210,趣味・スポーツ 三河デザイン合同会社 24時間365日ポケカのネットオリパが楽しめる【ポケパ365】,"新規会員登録後、初回課金完了 1,015円（税込） ※ポイントサイトの場合：新規会員登録後、5000円以上の課金完了 （リピートも成果対象） 1,015円（税込）",未提携,afb
レンタルスペース検索予約サイト【カシカシ】,株式会社友安製作所,16213,その他 株式会社友安製作所 レンタルスペース検索予約サイト【カシカシ】,初回予約後、決済完了 5.5％（税込）,未提携,afb
小さく見せるブラ【Veimia（ヴェーミア）】,"香港維密&#23149;數字科技有限公司(Hong Kong Veimia Digital Technology Co., Limited)",,,商品購入 12.65％（税込） ※リピート購入OK,,afb
【銀座・新宿・心斎橋で一流のお客様に長年愛されています】中古・新品の高級ブランド腕時計通信販売のGINZA RASIN,株式会社羅針,16215,嗜好品 株式会社羅針 【銀座・新宿・心斎橋で一流のお客様に長年愛されています】中古・新品の高級ブランド腕時計通信販売のGINZA RASIN,商品購入(リピートも成果対象) 1.65％（税込）,未提携,afb
【出張買取ウリエル】楽器買取,株式会社クオーレ,16221,買取 株式会社クオーレ 【出張買取ウリエル】楽器買取,"WEBからの新規無料査定依頼 4,230円（税込） ポイントサイト 買取金額10,000円以上の成約／WEBより無料査定依頼後、30日以内の出張買取完了時点",未提携,afb
【出張買取ウリエル】ゴルフ買取,株式会社クオーレ,16222,買取 株式会社クオーレ 【出張買取ウリエル】ゴルフ買取,"WEBからの新規無料査定依頼 4,230円（税込） ポイントサイト 買取金額10,000円以上の成約／WEBより無料査定依頼後、30日以内の出張買取完了時点",未提携,afb
【予算上限あり】あなたの資産形成の考えを教えてください！お金のインタビューモニター募集【ITトレンドMoney】,株式会社innovation&Co.,16642,その他 株式会社innovation&Co. 【予算上限あり】あなたの資産形成の考えを教えてください！お金のインタビューモニター募集【ITトレンドMoney】,"インタビュー完了 6,768円（税込）",未提携,afb
ソニーの炭テクノロジーで疲労回復【R WEAR】,株式会社サプリム,16312,ボディケア 株式会社サプリム ソニーの炭テクノロジーで疲労回復【R WEAR】,商品購入完了(リピートも成果対象) 16.5％（税込）,未提携,afb
＜CPF＞あなたのiPhoneを10秒で簡単査定【フォンサルドットコム】,株式会社Find,,,LINE友だち登録 337円（税込）,,afb
カニのお取り寄せ・通販【越前かに問屋ますよねオンラインショップ】,有限会社増米商店,16276,食品・産直品 有限会社増米商店 カニのお取り寄せ・通販【越前かに問屋ますよねオンラインショップ】,商品購入 3.3％（税込） ※リピート購入OK,未提携,afb
眠るだけで、明日をもっと軽やかに【Recovery Sleep（リカバリースリープ）】,モリリン株式会社,16277,家具・インテリア モリリン株式会社 眠るだけで、明日をもっと軽やかに【Recovery Sleep（リカバリースリープ）】,初回購入 8.36％（税込）,未提携,afb
『はらぺこあおむし』の作者の描く絵本の世界観がテーマの、遊んで学べる新しい場【PLAY! PARK ERIC CARLE（プレイパーク エリック・カール）】,エイアンドビーホールディングス株式会社,16286,旅行 エイアンドビーホールディングス株式会社 『はらぺこあおむし』の作者の描く絵本の世界観がテーマの、遊んで学べる新しい場【PLAY! PARK ERIC CARLE（プレイパーク エリック・カール）】,チケット購入完了後、「サイトに戻る」ボタン押下 11％（税込） ※リピート購入OK,未提携,afb
