ドメイン,DR,備考
tohkatsu-gyosei.jp,12.0,
change-your-life-cleanest.jp,12.0,
cbd-migoto.jp,12.0,
doggle.jp,12.0,
aquaseafood.jp,12.0,
3de.jp,12.0,
hiper.jp,12.0,
grace-azumino.jp,12.0,
su-ru.jp,12.0,
resiliencyofmind.jp,12.0,
docoreform-west.jp,12.0,
cocolead01.jp,12.0,
17kaigo.jp,12.0,
globalsupplychain.jp,12.0,
onopoint.jp,12.0,
edixnet.jp,12.0,
sctrc.jp,12.0,
soh-soh.jp,11.0,
red-joan.jp,11.0,
la-coldcase.jp,11.0,
ev-owners.jp,11.0,
tabisuma.jp,11.0,
chablet.jp,11.0,
otoku-line.jp,11.0,
researchtv.jp,11.0,
smartstorecenter.jp,11.0,
moopa.jp,11.0,
akabou-happy-service.jp,11.0,
pc-ikebukuro.jp,11.0,
mart-jam.jp,11.0,
akiyoshi-farmgarden.jp,11.0,
tadayobi.jp,11.0,
lets-know-boatrace.jp,11.0,
kotteri.jp,11.0,
timekiller.jp,11.0,
banq.jp,11.0,
musiclauncher.jp,11.0,
infopot.jp,11.0,
tenchu.jp,11.0,
tokyodream.jp,11.0,
bibalex.jp,11.0,
lucra.jp,11.0,
coaki.jp,11.0,
dragonsprophet.jp,11.0,
oh-yeah.jp,11.0,
maishi.jp,11.0,
gidle.jp,11.0,
fiestaguam.jp,11.0,
indimers.jp,11.0,
ja-yokohama.jp,11.0,
cwac.jp,11.0,
fatwrecked25.jp,11.0,
ris-shinri.jp,11.0,
newscred.jp,11.0,
shiroiheya.jp,11.0,
hyoui.jp,11.0,
c-mei.jp,11.0,
gramo.jp,11.0,
fureai-village.jp,11.0,
ibf-kakuseikai.jp,11.0,
ecchu-challenge.jp,11.0,
tom-is.jp,11.0,
fit-ieterrace.jp,11.0,
proraso.jp,11.0,
genji3.jp,11.0,
nakky.jp,11.0,
scrapper.jp,11.0,
gifu-koutairen.jp,11.0,
taylorburton.jp,11.0,
housecom-dx-conference.jp,11.0,
manchan.jp,11.0,
freelans.jp,11.0,
theparade.jp,11.0,
trasti.jp,11.0,
fukui150.jp,11.0,
asianmarche.jp,11.0,
pro24yg.jp,11.0,
raizon.jp,11.0,
kinokotocafe.jp,11.0,
ivrc.jp,11.0,
yukawa-act.jp,11.0,
okozukai.jp,11.0,
montecrew.jp,11.0,
tambamilk-shop.jp,11.0,
miraiyu-esaka.jp,11.0,
yomi-toku.jp,11.0,
gamap.jp,11.0,
pet-farewell.jp,11.0,
track-nationalchampionships.jp,11.0,
ishin-home-cms.jp,11.0,
goldenexpo.jp,11.0,
horitada.jp,11.0,
seihospecial.jp,11.0,
smid2023.jp,11.0,
puana.jp,11.0,
uandi-jhb.jp,11.0,
trust-in.jp,11.0,
shoes-ac.jp,11.0,
juncommunity.jp,11.0,
elle-est-belle.jp,11.0,
coco-scratch.jp,11.0,
sugidoco.jp,11.0,
jcs-entertainment.jp,11.0,
infinity-k-partners.jp,11.0,
assist-int.jp,11.0,
seminar-video.jp,11.0,
e-tone-ai.jp,11.0,
petit-atti.jp,11.0,
hood-movie.jp,10.0,
finalportrait.jp,10.0,
blogoodies.jp,10.0,
eightpark.jp,10.0,
shangrila-drive.jp,10.0,
noumi-dental.jp,10.0,
hiroshima-kansenboushi-shien.jp,10.0,
amazingcircus-estore.jp,10.0,
luteininfo.jp,10.0,
en-core.jp,10.0,
kana-sango.jp,10.0,
re-products-project.jp,10.0,
vid.jp,10.0,
regame.jp,10.0,
kudox.jp,10.0,
doops.jp,10.0,
hagaren-movie.jp,10.0,
mangacapsule.jp,10.0,
69movie.jp,10.0,
tonari-t.jp,10.0,
nature-movie.jp,10.0,
fami-web.jp,10.0,
mizunome-ru.jp,10.0,
club-ism.jp,10.0,
ringdream.jp,10.0,
lefrancais.jp,10.0,
akb48-lifecard.jp,10.0,
greenplaza-karuizawa.jp,10.0,
uplex.jp,10.0,
timediver.jp,10.0,
habu-connection.jp,10.0,
vegetus.jp,10.0,
standupclassic.jp,10.0,
blcr.jp,10.0,
nonokanet.jp,10.0,
quizgo.jp,10.0,
easyeight.jp,10.0,
re-generate.jp,10.0,
motown60.jp,10.0,
office-rire.jp,10.0,
amasia.jp,10.0,
meatcafe.jp,10.0,
geetacurry.jp,10.0,
sbscom.jp,10.0,
flyingmonk.jp,10.0,
umebachi.jp,10.0,
sawvi.jp,10.0,
hanamoegi.jp,10.0,
sugiyofarm.jp,10.0,
yamatoyasai-natura.jp,10.0,
ueno-farm.jp,10.0,
nagoya-dome-prime-twin.jp,10.0,
hukkatuai.jp,10.0,
fukui-jizokuka.jp,10.0,
kenketsu-anime-campaign.jp,10.0,
comodi-iida-saiyou.jp,10.0,
csnet-kikaku.jp,10.0,
vegeloveit.jp,10.0,
twiyo.jp,10.0,
icpictokyo.jp,10.0,
lumies.jp,10.0,
abbeys-vines.jp,10.0,
entre-school.jp,10.0,
teamno1.jp,10.0,
esleepy.jp,10.0,
cip4.jp,10.0,
e-tame.jp,10.0,
encos.jp,10.0,
doctors-home.jp,10.0,
verdy-kabeminami.jp,10.0,
bemoti.jp,10.0,
avexdm475.jp,10.0,
nagawood.jp,10.0,
pokecology-researchcp.jp,10.0,
yokabaisatei.jp,10.0,
six-archi.jp,10.0,
iki299.jp,10.0,
walleco.jp,10.0,
odate-utanohi.jp,10.0,
mugen-gp.jp,10.0,
tonykartracing.jp,10.0,
treely.jp,10.0,
enmusubicare.jp,10.0,
supremetechnology.jp,10.0,
kitanagoya-cashless.jp,10.0,
web-3.jp,10.0,
rrec.jp,10.0,
renomado.jp,10.0,
ai-persona-marketing.jp,10.0,
web-coach.jp,10.0,
eitoshop.jp,10.0,
mgdm.jp,9.0,
kanoizumi.jp,9.0,
comepri.jp,9.0,
kyushu-j.jp,9.0,
bhutan-travel.jp,9.0,
eishinjuku.jp,9.0,
tokyoautostyle.jp,9.0,
conejo.jp,9.0,
pepsi-cp.jp,9.0,
zettai.jp,9.0,
nebraska-movie.jp,9.0,
omokage-movie.jp,9.0,
goldencup.jp,9.0,
riribbon.jp,9.0,
tokyo7s.jp,9.0,
urayasusc.jp,9.0,
sngt.jp,9.0,
gltokyo.jp,9.0,
sem-irep.jp,9.0,
milk-co.jp,9.0,
bitstudio.jp,9.0,
emlife.jp,9.0,
r1997.jp,9.0,
hyper-m.jp,9.0,
jura.jp,9.0,
uf-miyagi.jp,9.0,
thaitanaporn.jp,9.0,
fulllifecare.jp,9.0,
danlan.jp,9.0,
kandoraten.jp,9.0,
jukouan.jp,9.0,
food-communication.jp,9.0,
one-thing.jp,9.0,
daiichi-tamaya-sushi.jp,9.0,
farmos.jp,9.0,
tricking.jp,9.0,
onomatopedia.jp,9.0,
spool-hs-job.jp,9.0,
pomology.jp,9.0,
crystalline.jp,9.0,
biogas.jp,9.0,
landingpad.jp,9.0,
ikcinc.jp,9.0,
sakizakiteruko.jp,9.0,
kyoden-kpi.jp,9.0,
seminar-lab.jp,9.0,
thetopland.jp,9.0,
bizdev-career.jp,9.0,
blackexpress.jp,9.0,
maaru-cafe.jp,9.0,
syria-pound.jp,9.0,
ishikawashika.jp,9.0,
tanba-kisaku.jp,9.0,
yogadays.jp,9.0,
tamabussan.jp,9.0,
hokumaru.jp,9.0,
nogata-kodomo.jp,9.0,
ryokanogawa.jp,9.0,
muuv.jp,9.0,
cocopila.jp,9.0,
team-yokohama-ev.jp,9.0,
kenko-nagasaki.jp,9.0,
nosekaraku.jp,9.0,
reg-clinkage.jp,9.0,
wellbe-toyosu.jp,9.0,
mbp-cp.jp,9.0,
studio999.jp,9.0,
sukusuku-kodomo.jp,9.0,
newton-web.jp,9.0,
inzai-kankou.jp,9.0,
sakatsunosa.jp,9.0,
la-ebisugg.jp,9.0,
mikawa-co.jp,9.0,
inadani-tour.jp,9.0,
daiichi-inc.jp,9.0,
foodlearning.jp,9.0,
sixty82-doughty.jp,9.0,
localfishcan.jp,9.0,
jewelmiki.jp,9.0,
dogsalonroukie.jp,9.0,
antler.jp,9.0,
jspen-metro2025.jp,9.0,
onayami2021.jp,9.0,
logiomics.jp,9.0,
lohas-art.jp,9.0,
smilehoney83.jp,9.0,
ots-corporation.jp,9.0,
mogumogu-check.jp,9.0,
hikakuweb.jp,9.0,
beatify.jp,9.0,
apahotel-saiyou.jp,8.0,
um-hum.jp,8.0,
lipton-sweets.jp,8.0,
siesta-hosp.jp,8.0,
camlens.jp,8.0,
honshibori-mag.jp,8.0,
r-ndental.jp,8.0,
hananobo.jp,8.0,
it-stamp.jp,8.0,
nagamine-seikei.jp,8.0,
ueno-hiroshi.jp,8.0,
katuura-umaimono.jp,8.0,
cosplayheaven.jp,8.0,
kazuma-sone.jp,8.0,
lounge1908.jp,8.0,
belpa.jp,8.0,
kaoiro.jp,8.0,
1-8.jp,8.0,
animetas.jp,8.0,
earth1999-netshop.jp,8.0,
kenjiworld.jp,8.0,
cochu.jp,8.0,
animefes-vs.jp,8.0,
komakicity-onsuipool.jp,8.0,
yagi-otoko.jp,8.0,
warp-style.jp,8.0,
vimclip.jp,8.0,
susono-gyoza.jp,8.0,
semba-portfolio.jp,8.0,
xn--qckubp0dr1j.jp,8.0,
plant-gift.jp,8.0,
o-kane.jp,8.0,
sutekinasurprise.jp,8.0,
shirocolle.jp,8.0,
logicom.jp,8.0,
velotaxi-yokohama.jp,8.0,
petbridge.jp,8.0,
rupa.jp,8.0,
clos.jp,8.0,
link-cocokara.jp,8.0,
wabisuke.jp,8.0,
lab-question.jp,8.0,
hyakunenkai-nerima.jp,8.0,
minami-satelliteoffice.jp,8.0,
ttmoto.jp,8.0,
cloudplay.jp,8.0,
mtmidwife.jp,8.0,
metasu.jp,8.0,
hiyamuta.jp,8.0,
hugnet.jp,8.0,
chihousouseikaigi.jp,8.0,
zeirisi-syoukai.jp,8.0,
fleurys.jp,8.0,
eais.jp,8.0,
dog-art.jp,8.0,
inz.jp,8.0,
bijinzaifu.jp,8.0,
livehayn.jp,8.0,
