"広告主ID","広告主名","広告主サイトURL","会社名","プログラムID","プログラム名","プログラム内容","コメント・注意事項（プログラム）","提携ステータス","期間開始","期間終了","CPC報酬","定額報酬","定率報酬","注文発生対象・条件","成果の承認基準","成果の承認基準（その他）","成果対象外条件","成果対象外条件（その他）","コメント・注意事項（オファー）","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","リスティング可否","カテゴリー1","カテゴリー2","カテゴリー3","カテゴリー4"
"3564684","ABEMAプレミアム","https://abema.tv/about/premium","株式会社AbemaTV","2162226","ABEMAプレミアム","ABEMAプレミアムでは、
オリジナル作品はもちろん、映画ドラマアニメバラエティなど見逃した番組や、人気作品を楽しむことができます。

初めてのABEMAプレミアムに登録する方は、14日間は無料でおためし頂けるトライアルも実施しています。

ABEMAプレミアム ７つのメリット
1．プレミアム限定の作品が見放題
2．放送中でも最初からみられる（*テレビの放送開始に間に合わなくても番組を最初から楽しめる
3．広告なしでビデオをすぐ再生
4．レンタル作品が特別価格でみることができる
5．ペイパービューの割引や購入特典
6．放送後の番組でもコメントが楽しめる
7．ダウンロードで通信量をほぼゼロで楽しめます","申込みキャンセル、入力内容不備、いたずら、虚偽、重複成果は成果対象外とさせていただきます。
また、以下の場合にも承認を取り消しさせて頂くことがございます
・不正な手段での集客（不正リスティング出稿など）
・誤った情報の記載（誤表記、使用不可バナーの使用など）
・商標ドメインを利用したサイト
・その他広告主が不適切と判断させていただいた記載（公序良俗違反するサイトなど）
・以下LPからの登録が成果対象となります。
https://abema.tv/subscription/lp/86ee342b-2666-48d8-93b1-9c8c7caf5814","提携済み","2024/07/27","","","1521","","会員登録","会員登録:申込確認","ABEMAプレミアムの登録完了にて成果対象となります。
また過去に登録したことがあるユーザーは対象外となります。","虚偽、いたずら、重複
登録不備","・不正な手段での集客（不正リスティング出稿など）
・誤った情報の記載（誤表記、使用不可バナーの使用など）
・商標ドメインを利用したサイト
・その他不適切と判断させていただいた記載（公序良俗違反するサイトなど）","別条件のオファーに媒体さまの操作で変更されないようお願いします。","","","スマホ対応","ITP対応済","","一部可","","","",""
"3557578","RUBATO&Co.","https://rubatoandco.jp","株式会社BY THE WAY","2162025","RUBATO&Co.","クラファン「Makuake」にて財布ジャンル歴代支援額No.1の
2,600万円を獲得した「カードが立つ長財布」を販売する
RUBATO&amp;Co.公式オンラインショップです。

◆セールスポイント◆
1．MakuakeにてジャンルNo.1の支援額を集めた長財布
2．これまでにない特殊構造「カードスタンド」機能
3．完全国内生産で3ヶ月以上の予約待ち人気商品
4．永久保障付きでサービス面も充実しています

◆ターゲットユーザー◆
30代～60代、男女問わず幅広い層がターゲットです。

◆おすすめの紹介方法◆
クラウドファンディングで1位獲得、カードが取り出しやすく見やすい「カードスタンド機能」、栃木レザー使用で完全日本製、永久保障などPRポイントが多いです。キャッシュレスでコンパクト財布が流行っていますが、実は使用率は10%以下、機能的な長財布を求めるユーザーが54%と圧倒的に多いです。(当社実施500人アンケート)

◆アフィリエイトサイトへのメッセージ◆
実績を出していただいたアフィリエイトサイト様には特別報酬もご用意しております。ぜひ貴サイトでのご掲載をお願いいたします。","IEブラウザ経由の注文は成果対象外になります。","即時提携","2020/12/03","","","","10%","商品購入","商品購入:入金確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","不可","","","",""
"3547822","マウスコンピューター","https://www.mouse-jp.co.jp","株式会社マウスコンピューター","2161787","マウスコンピューター","◆◇マウスコンピューター アフィリエイトプログラム◆◇

＜アフィリエイトプログラム特長＞
１．報酬率 3 ％
販売額毎に特別コミッションがあり、売れば売るだけ高い報酬率をご提供します。
※公式オンラインショップ販売金額の3％（送料・消費税含まず）

２．高単価商材
マウスコンピューターの売れ筋は10万円を超える高単価のパソコン。
中でもゲーミングPCなどは、さらに高単価。20万円を超えるパソコンも良く売れています。

３．製品のお貸出し等のサポートあり
マウスコンピューターではアフィリエイトパートナー様が商品レビューの掲載に必要な場合、
商品を可能な限りご要望のモデル・スペックにてお貸出しさせていただきます。

＜提携審査＞
提携承認には審査基準がございます。主に下記に該当するサイト様との提携を行っております。
・パソコンジャンル（例：主にパソコン本体、PCゲームなど）
・パソコンに関連するジャンル（例：ソフトウェア、動画像編集、イラスト制作など）
・継続的にパソコン/当社関連記事の更新を掲載","＜成果報酬対象サイト＞
https://www.mouse-jp.co.jp/

＜再訪問日数＞60日

■アフィリエイトプログラムのご案内
https://www.mouse-jp.co.jp/store/affiliate/affiliate.aspx
禁止事項、注意点等の詳細をまとめておりますので必ずご一読をお願い致します。

サイト審査にて提携承認を見送らせていただく場合がございます。
今後弊社を紹介する予定があったにも関わらず拒否された場合や
その他ご不明な点や個別で確認したい点等ございましたら下記宛先までご連絡ください
ーーーーーーーーーーーーーーーー
mouse_vc@valuecommerce.co.jp
ーーーーーーーーーーーーーーーー","審査あり","2021/01/01","","","","3%","商品購入","商品購入:配送確認","※自己購入に対応しております。
ご自身のサイト経由で購入すれば、ご本人様の注文でも報酬を受け取れます。
パソコンやタブレットなどの買い替えの際にぜびご利用ください。","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","・ご注文後に機種・構成・台数・金額などを変更
・ご注文後にキャンセル・返品があった場合
・ダイレクトショップや電話通販など、オンライン以外でのご購入
　※ダイレクトショップ直送モデルは成果対象外です
・楽天市場店での購入
・消費税・送料は成果対象外です
・クーポン使用分の金額

以下の場合には、報酬対象外になります。
・受注後にオンライン以外の方法にて、再受注となった場合
（再受注となった場合、弊社では受注元データを破棄し、新規注文としておりますため、報酬対象外とさせていただいております。予めご了承いただきますようお願い申し上げます。）","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","","","",""
"3548704","ビレッジハウス・マネジメントの公式サイト","https://www.villagehouse.jp/","ビレッジハウス・マネジメント株式会社","2161824","お問い合わせ促進プログラム","――――――――――――
報酬アップキャンペーン実施中！
10/1～10/31　3,300円(税込)→4,400円(税込)
―――――――――――― 

◆セールスポイント
1. 敷金・礼金・手数料・更新料が全て0円
2. 家賃2万円台～
3. 一人暮らしのご年配の方が楽しく暮らせる
4. 管理費・保証金・償却・敷引が全て無し
5. 保証人・保証会社不要(審査によって連帯保証人が必要の場合あり)
6. 家賃キャッシュバック＆カーテンシーリングライト合わせて最大30,000円分サポート！

◆お得情報

特典１
ご契約いただいた方に最大30,000円分の引越しサポート！
2ヶ月目の賃料＆カーテン・シーリングライトご購入代金より最大30,000円分（賃料1ヶ月分）を初期費用より差し引かせていただきます。

特典２
3ヶ月目の賃料がフリーレント！
実質日割賃料のみで入居可能！初回の請求は4ヵ月目の賃料(3ヵ月目に請求)からとなります。

特典３
お申し込み時にご希望いただいた方へ、ハート引越センターのクーポン券をプレゼントいたします！（単身者3,000円、ファミリー5,000円）","おすすめの紹介方法: 施設の外観イメージと、間取り図のイメージ、そして「敷金・礼金・手数料・更新料が全て0円です」と併せてご紹介いただけましたら、CTRやCVRが高くなるという事実データが取れています。

注意事項: アフィリエイトサイト様向けに提供していないバナーや画像、サイトキャプチャなどのご利用はお断りしております。

毎月20件以上の実績を出していただいたアフィリエイトサイト様に、プラットホームの報酬以外、特別報酬や専用素材もご用意しております。住まいのお役立ち情報と特典情報と併せてご紹介いただくのがおすすめです。ぜひ貴アカウントでのご掲載をお願いいたします。

※　特別報酬の条件1: 積極的に弊社の名誉を守り名声を高めるコンテンツを提供するサイト
※　特別報酬の条件2: 契約締結のエビデンスを提供するサイト","即時提携","2024/11/01","","","3000","","問い合わせ","問い合わせ:本人利用・本人確認","毎月20件以上の実績を出していただいたアフィリエイトサイト様に、プラットホームの報酬以外、特別報酬や専用素材もご用意しております。住まいのお役立ち情報と特典情報と併せてご紹介いただくのがおすすめです。ぜひ貴サイトでのご掲載をお願いいたします。

※　特別報酬の条件1: 積極的に弊社の名誉を守り名声を高めるコンテンツを提供するサイト
※　特別報酬の条件2: 契約締結のエビデンスを提供するサイト","虚偽、いたずら、重複
登録不備","注意事項として、以下の場合は報酬の承認を受け取りません。
1.  悪いレビュー：良いレビューの文字数比率が、1：3以上を超える場合。
2. 客観的に公平な第三者を装い、ブランドに攻撃を仕掛けてくる場合。
3. 暴力、犯罪、詐欺、違法な物品、児童ポルノやわいせつなサイトに掲載する場合。","◆おすすめの紹介方法
施設の外観イメージと、間取り図のイメージ、そして「敷金・礼金・手数料・更新料が全て0円です」と併せてご紹介いただけましたら、CTRやCVRが高くなるという事実データが取れています。","MyLink対応","","スマホ対応","ITP対応済","","不可","","","",""
"3554982","ビッグエムワン","https://www.big-m-one.com/shop/default.aspx","株式会社ザザホラヤ","2161969","ビッグエムワン販売促進プログラム","大きいサイズのメンズファッションを販売しているビッグエムワンです。
■セールスポイント
全国に80店舗以上のリアル店舗も運営していますので安心していただけます。
今なら新規会員登録で全国送料無料。
他社で取扱いのないオリジナルウェアが人気で多数。機能性商品も人気です。
■ターゲットユーザー
40代の男性を中心に幅広くご利用いただいてます。
■人気アイテムはセール品ですが季節の変わり目の新作商品案内でのお客様の反応は高いです。","・以下に該当する注文は成果対象外とさせていただきます。
　　＞商品受け取り拒否
　　＞商品キャンセル","即時提携","2020/11/02","","","","10%","商品購入","商品購入:配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","","","",""
"3554677","GREEN SPOON","https://green-spoon.jp/","株式会社Greenspoon","2161963","パーソナルスムージー【GREEN SPOON】","◆おススメの提案の仕方◆
・あなたに必要な野菜とフルーツ（orスムージー）を無料診断
・25種類あるので、好きな味を見つける楽しみもあり
・野菜たっぷりなのに美味しいスムージー。新しい味に出会える
・サブスクリプションで定期だから、健康的な食生活を続けられる
・野菜が簡単に摂れるサービス
・レシピを考える時間、食材を購入、カットする時間の手間がかからない
・水、牛乳、豆乳など水分のカスタマイズが可能。GREEN SPOONを使ったアレンジレシピも楽しめる
・罪悪感のないデザート

◆メッセージ◆
GREEN SPOONブランドは、
たのしい食のセルフケア習慣を身に付け、自分を大切にしている実感が、
「自分を好きでい続けられる人生に繋がりますように」という想いを込めて、サービスを立ち上げました。
ビジネス観点では、これからの未来に必要になる商品・サービスを創利、
「健康」×「宅食」×「冷凍」の今伸びてるマーケットで勝負していきます。
消費者の方に、たのしい食の価値を提供できる商品・サービスになっていると思いますので、
ご提携どうぞよろしくお願い致します。","◆セールスポイント◆
・栄養のパーソナライズ
　カラダの悩みや生活習慣から、今の自分に必要な栄養素を無料診断でチェック。
　その栄養素を含む野菜とフルーツからできたスムージーを25種のレシピから選んで提案します！

・本質的な健康
　日本スーパーフード協会認定の14種類のスーパーフードを使用。
　また、ビタミンCやビタミンB群を豊富に含んでいます！

・添加物フリーで安心安全
　甘味料、保存料、着色料、香料を一切使っておりません！

・野菜たっぷりなのに美味しい
　白砂糖や人工甘味等を加えずに、甘酒や植物由来のアガベ、フルーツ本来の甘味のみで、
　""""美味しい""""を実現しています。
　管理栄養士監修でカラダに良い栄養の組み合わせも考えられています！

◆ターゲットユーザー◆
・30代～50代の女性
・健康意識中～高　もしくは上げていきたい方

◆成果対象外◆
「Windows IE」「Windows Edge」経由でのご購入は、成果対象外となりますのでご注意ください。
※上記ブラウザ対応につきましては、順次改修を行ってまいります。","即時提携","2020/10/29","","","2500","","商品購入","商品購入:本人利用・本人確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","","","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","ダイエット・健康食品","","",""
"3490100","ヒトサラ","https://hitosara.com/","株式会社USEN","2162006","ヒトサラ","■ヒトサラとは
『ヒトサラ』は、15,000人を超える料理人情報と首都圏や観光主要都市を中心に人気店・評判店情報を掲載しているグルメメディアです。
https://hitosara.com/info/about.html
 
■ヒトサラPOINTについて
WEB予約を利用してレストランを予約するとヒトサラPOINTがたまってさらにお得！
たまったヒトサラPOINTは次回の予約時に食事代として利用できます！
さらに、下記電子マネー・クーポンへの交換や、慈善事業団体へ寄付もできます。
【電子マネー・クーポン/慈善団体へ寄付】
・Amazonギフト券
・EdyギフトID
・nanacoギフト
・日本赤十字社　等","■禁止事項
下記事項を発見した場合、
『掲載リンクの解除』または『注文拒否をする』可能性がございますので、ご留意ください。
 
・弊社社名・サイト名、商標及びサービス名、打ち間違いワード(店舗名を正式表記ではなく平仮名、カタカナ、英字など実際と異なる表記にて記載する)でのリスティング出稿(入札)、過剰SEO対策は禁止といたします。
・知的財産を含む権利を侵害したコンテンツへの広告リンク掲載は禁止いたします。
・ページ内のコンテンツ（画像・テキスト等）も流用禁止といたします。
・アフィリエイト利用以外の目的での転用は禁止いたします。
・バリューコマース管理画面で提供していない情報の無断利用は禁止いたします。","即時提携","2020/10/20","","","500","","予約完了","予約完了:本人利用・本人確認/来場","・予約完了 ：本人利用・本人確認
├Web予約（即時予約）完了後の来店確認がとれた方が対象です
├該当店舗は即時予約ができ、かつ「ヒトサラPOINTが貯まる」のアイコンがある店舗のみ成果対象です
├ディナー予約（16:00～5:59開始のご予約）のみが成果対象です
└Web予約（即時予約）の来店件数に応じて所定の成果報酬額をお支払いいたします
※会員登録の有無は問いません
※予約時点では成果になりませんのでご留意下さい","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","重複、不備、虚偽、いたずら・キャンセル
来店に至っていない予約、等
・否認条件詳細
├ いたずら、キャンセルほか、対象店舗への来店確認ができなかった場合
├ 電話予約は成果対象外です
├ ランチ予約（6:00～15:59開始のご予約）は対象外です
└ ヒトサラアプリ経由の予約完了は成果対象外です","提携媒体様のサイト名、サイトURLなどにヒトサラの会社名、サイト名、
サービス名などの商標（類似を含む）の利用は禁止しおります。
※上記の禁止事項が発覚した場合、即刻提携解除及び発生成果の全否認の
対応をさせていただきますので、予めご了承ください。

・知的財産を含む権利を侵害したコンテンツへの広告リンク掲載は禁止いたします。
・ページ内のコンテンツ（画像・テキスト等）も流用禁止といたします。
・アフィリエイト利用以外の目的での転用は禁止いたします。
・バリューコマース管理画面で提供していない情報の無断利用は禁止いたします。","","","スマホ対応","ITP対応済","","不可","BtoB・Webサービス・サイト制作","","",""
"3550157","pc4u","https://www.pc4u.co.jp/","有限会社ドーフィールドジャパン","2161869","PC4U公式オンラインショップ 販売促進プログラム","2点以上同時購入でお買い得！

◆冷却パーツセール！　2点以上同時購入で17%OFF
https://www.pc4u.co.jp/view/bulk/43-0

◆Thermaltake パワーアップビルド！　2点以上同時購入で10%OFF
https://www.pc4u.co.jp/view/bulk/44-0
------------------------------------


▲▲PC4U 公式オンラインショップ▲▲
PCパーツやゲーミングパソコン、パソコン周辺機器まで人気商品のアウトレット特価や会員限定販売もございます。

◆セールスポイント◆
1．新商品や話題の商品がアウトレット特価や会員限定販売！
2．Amazon pay、LINEpay、楽天pay、PayPayなど利用しやすい決済に対応！
3．3000円以上のお買い上げで送料無料！


◆ターゲットユーザー◆
購買意欲の高い30～40代の男性（PCパーツ、オーディオ、VR(HTC)、カメラ、Macパーツ）
企業向け（PCパーツ、テレワーク商品）
平均購入額15000円以上","・以下に該当する注文は成果対象外とさせていただきます。
　　＞iOS経由の楽天ペイでの決済
　　＞iOS経由のLINEpayでの決済
　　＞30日以内に注文が成立しない場合
　　＞商品受け取り拒否
　　＞海外発送商品
　　＞虚偽
　　＞注文キャンセル","即時提携","2026/02/19","","","","0.5%","商品購入","商品購入:配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","・以下に該当する注文は成果対象外とさせていただきます。
　　＞PayPayでの決済
　　＞スマートフォン経由の楽天ペイでの決済
　　＞商品受け取り拒否
　　＞海外発送商品
　　＞虚偽
　　＞注文キャンセル","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","不可","周辺機器","","",""
"3553003","ナースではたらこ","https://iryo-de-hatarako.net/","ディップ株式会社","2161931","看護師の転職支援はディップ「ナースではたらこ」","★ナースではたらこが看護師に選ばれる理由★
1．サイトには出ない「非公開求人」もご紹介
┗Webに公開されていない最新の人気求人があります。ご登録者の方限定で、ご紹介しています。

2．日本最大級の医療機関情報を掲載！
┗全国各地の医療機関情報を網羅。日本最大級、看護師さん専門の転職・求人サービスです。

3．東証一部上場企業が運営。セキュリティーも万全！
┗「ナースではたらこ」は、「はたらこねっと」「バイトル」などでおなじみの
　上場企業（東証一部）で、「総合求人情報ポータル」の老舗である
　ディップ株式会社が運営しております。","・不適合サイトでの広告掲載を禁止（アダルト、出会い系、ギャンブル等、公序良俗に反する内容を含むサイト）
・派遣（短期、単発含む）の登録を促進することを禁止
・企業内（産業）看護師・保健師・保育園看護師の登録を促進することを禁止
・サイトに掲載されている施設・求人情報、画像、コンテンツ等の情報を許可なく利用することを禁止
・2016年4月1日より「キャリア・コンサルタント」が国家資格化され、資格がない場合、名乗ることを禁止
※変更例：コンサルタント
※リスティング違反並びに上記にあたる場合は提携解除並びに成果を否認とさせていただきます。","審査あり","2020/10/13","","","12547","","会員登録","会員登録:本人利用・本人確認","・広告主新規（当広告主を初めて利用する方）
・WEBからの会員登録後、14日以内の本人確認完了","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","・重複登録、明らかな不正、いたずら、本人確認が取れない登録データ
・看護師資格非保有者（医療事務、看護助手、動物看護師）の登録
・リスティング違反の場合","","","","スマホ対応","ITP対応済","","一部可","転職支援","","",""
"3546355","大人の焼き物オンラインショップ","https://www.otonayaki.com/","合同会社エイトカラーズ","2161722","人気作家や窯元の陶器・磁器・ガラスなどの焼き物販売促進プログラム","インスタグラムで大人気！大人が惚れる焼き物紹介マガジン「大人の焼き物」の公式通販です。人気作家や窯元の陶器・磁器・ガラスなどのクラフトのうつわをセレクトしております。","以下否認とさせて頂きます。 
・虚偽、重複、申込不備、返品、キャンセル、未払い、受取拒否
・サイト内に該当サービスの紹介文が確認できない 
・他社ASPとの重複成果で最終注文時間でない 
・連絡のつかないユーザーからの購入や申込 
・リスティング違反の場合","即時提携","2020/10/01","","","","5%","商品購入","商品購入:入金確認","・虚偽、重複、申込不備、返品、キャンセル、未払い、受取拒否
・サイト内に該当サービスの紹介文が確認できない
・他社ASPとの重複成果で最終注文時間でない
・連絡のつかないユーザーからの購入や申込
・リスティング違反の場合","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","","","",""
"3395140","エアトリ","https://www.airtrip.jp/","株式会社エアトリ","2161930","国内航空券＋ホテルの予約なら【エアトリプラス】","国内航空券＋ホテルで組合せ自由自在！旅行も出張もエアトリプラスならセットでさらにお得

■エアトリプラスとは？
エアトリプラスとは、従来の航空券のみの予約に加え、日程・出発地・目的地を設定するだけでホテルも同時に一括検索、一括予約が出来るサービスです。
エアトリプラスで購入すると、国内ホテルは最大70％OFF※とお得に旅行を楽しむことが出来ます。
※この割引率は、全ての航空券+ホテル予約に適用されるものではありません。
　割引金額は、当社サイト上で、個別に予約した場合と同時に予約した場合の金額を比較してご確認ください。

■特徴
1.国内航空券とホテルが組み合わせ自由
　航空券とホテルの取扱数は業界最大級を誇り、様々なスタイルに合ったオリジナルの旅行を楽しむことが出来ます。

2.セットでさらにお得な割引価格
　航空券とホテルを同時購入する事でセット割引※が適用され、それぞれ購入する場合よりもお得。
　※割引率はプランにより異なり、一部セット割引の無いホテルプランもあります。

3.24時間365日オンラインで予約
　当日予約も可能で、急な休みや突然の出張でも簡単に最低価格での予約が出来ます。","","審査あり","2020/10/15","","","2100","","予約完了","予約完了:本人利用・本人確認","WEB入力完了後、150日以内の全額入金完了","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","お申込後、150日以内の全額入金完了が確認できない場合
正常な申込みでないと判断された場合
不備・不正・虚偽・重複・いたずら・キャンセルはNG
エアトリ国内航空券+ホテル（エアトリプラス）以外のお申込み","※サイトに移動してから、お申し込みが完了するまで、必ず同じブラウザをご利用ください。
※お申し込み後に送られる申込み完了のメールなど成果調査の際必要になりますので必ず保管頂くようお願い致します。（申込番号、注文番号など）","","","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","海外航空券","","",""
"3517365","Liigo","https://www.liigo.world/ja/","株式会社リーゴ","2161122","世界最大級！ツアーアクティビティの検索サイト「Liigo」販促プログラム","◆セールスポイント◆
1. 高い成果発生率(CPA)：流入のうち35%
2. 複数メディアを1つにまとめ、テーマ毎の商品ランキング見れるのはLiigoだけ！
3. 世界中でも日本国内でも、どこよりも品数豊富・どこよりも安い

■ツアーアクティビティ探しの総合窓口
Liigoは、世界中の主要アクティビティサイト８つを一括検索比較できます。
複数メディアを一括検索し、テーマ毎の商品ランキングで見れるので、探す手間がなくなります。

■世界各地の穴場でも、ツアー商品最多種
世界中のどの穴場でも、
数時間のアクティビティ、現地体験1dayツアー、レジャーチケット・プライベートジェット体験、1４日間アフリカ周遊650万円/件の冒険型ツアーまで、どこよりもツアー商品が豊富です。

■レジャーチケット最安値
ディズニーランドチケット、世界中の主要エンターテイメント施設のチケットが最安値で探せます。","","審査あり","2020/08/14","","","10","","その他","","Liigo上のツアー商品にある「詳しく見る」ボタンを押した時に課金発生(=Liigoから商品連携先サイトへ遷移する時)","虚偽、いたずら、重複","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","一部可","旅行サービス","","",""
"3535728","SHIFFON ONLINE STORE","https://www.shiffon-online.jp/","株式会社SHIFFON","2161468","SHIFFON＜メンズ服＆ブランド子供服＆ランドセル＞販売促進プログラム","SHIFFON ONLINE STOREでは、国内外のブランドを最大70%OFFで販売しています。
雑誌LEONにも掲載されています。

▼取り扱いのブランド（一部）
1PIU1UGUALE3 RELAX、AKM、phenix、MARK GONZALES（マークゴンザレス）、MM6、MARNI（マルニ）、DIESEL（ディーゼル）、PAUL&amp;JOE（ポールアンドジョー）、MARY QUANT（マリークワント）など

▼特典
・無料会員登録で1,000円OFFクーポンがもらえます。
・1万円（税込）以上で送料無料になります。

▼セールスポイント
・有名人や話題のブランドとのコラボ商品多数！
・LEONなどの雑誌掲載商品多数！
・大人も着れる有名海外ブランドの子供服
・SNSで話題沸騰、メディア掲載多数！ブランドランドセル
・限定4アイテムをランダムにピックアップする会員限定タイムセールを週3回実施中！

◆アフィリエイトサイトへのメッセージ◆
実績を出していただいたアフィリエイトサイト様には特別報酬もご用意しております。
ぜひ貴サイトでのご掲載をお願いいたします。","・アフィリエイトサイト様向けに提供していないバナーや画像、サイトキャプチャなどのご利用はお断りしております。
・以下に該当する注文は成果対象外とさせていただきます。
　　＞商品受け取り拒否
　　＞海外発送商品
・予約商品に関しては、「銀行振込」、「AmazonPay」、「楽天Pay」での決済のご利用いただけません。
　※決済方法を選択する画面には「クレジットカード」、「代金引換」のみが表示されます。","即時提携","2020/07/13","","","","5%","商品購入","商品購入:入金確認/配送確認","","虚偽、いたずら、重複
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","メンズファッション","鞄・バッグ・靴","",""
"3527365","アンテプリマ公式オンラインストア","https://www.wirebag.jp/","株式会社アンテプリマジャパン","2161285","アンテプリマ【公式】オンラインショップの販売促進プログラム","あなたのアフィリエイトサイト経由での成果に対して、基本は3% 売上報酬 をお支払いたします。
媒体別に個別の報酬料率の検討は随時しております。
あなたのサイトのコンセプトや属性に応じてお好みのリンクを利用し、ぜひ当サイトをご紹介ください。

※未提携の方は提携承認されたあとにリンクが取得可能になります。","海外発送は行っておりません。
商品キャンセル・返品は成果の対象になりません。","審査あり","2020/06/18","","","","3%","商品購入","商品購入:入金確認/配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","・1オーダー内で一部キャンセルがあった場合、オーダーごと成果対象外","","","","スマホ対応","ITP対応済","","不可","","","",""
"3528205","ゲオの買取 - ゲーム","https://buy.geo-online.co.jp/","株式会社会社ゲオストア","2161300","ゲオの買取 - ゲーム","全国1,000店舗以上のゲオが提供する宅配買取サービスです。ゲーム・パソコン・カメラ・音楽プレーヤーを高価買取。手数料無料で簡単、安心、早い！
全国1,000店舗以上のゲオが提供する宅配買取サービス【ゲオの買取 - ゲーム】です。買取金額に自信あり！ゲーム・パソコン・カメラ・音楽プレーヤーを高価買取。手数料無料で簡単、安心、早い！お得な買取金額UPキャンペーンも定期的に開催しております。","【成果対象外/対象外商品】
下記のいずれかの理由に該当した場合は、成果承認対象外となります。
・キャンセル、虚偽、都度広告を経由していない重複の申込、いたずら、申込不備、本人確認のとれない申込
・商品未着、キャンセル等により買取不成立の場合
・申込から30日以内に買取が完了しない場合
・「いきなり発送買取」「電話で買取」「楽天ゲオEショップ買取」等ゲオマート以外からの買取申込み
・ご注文時には、金額が0円で反映されます。買取完了確認後、買取金額を反映させていただきます。
・成果対象外商品：CD・DVD・Blu-ray・スマホ・タブレット・ガラホ・アップルウォッチ・電子書籍
・転売と判断したもの

＜施策の事前確認について＞
2023年11月17日（金）以降、会員様にて何か自主的に
SNS広告及びYoutube等で紹介、訴求等を行っていただける場合、
必ず事前チェックを行い広告主OKが出た後に配信するものといたします。

こちらを破った場合は配信日以降の発生成果分を
全てキャンセルとさせていただきます。","審査あり","2025/04/01","","","1700","","その他","","WEB申込後、30日以内の買取完了
（買取金額が1000円以上の場合）

※2023/12/1以降、下記に変更
　　　　　　↓↓↓↓
WEB申込後、30日以内の買取完了
（買取金額が3500円以上の場合）
・同一ユーザーの申し込みは1回まで（月単位）とする","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","転売と判断したもの
成果対象外商品：CD・DVD・Blu-ray・スマホ・タブレット・ガラホ・アップルウォッチ・電子書籍","＜施策の事前確認について＞
2023年11月17日（金）以降、会員様にて何か自主的に
SNS広告及びYoutube等で紹介、訴求等を行っていただける場合、
必ず事前チェックを行い広告主OKが出た後に配信するものといたします。

こちらを破った場合は配信日以降の発生成果分を
全てキャンセルとさせていただきます。","MyLink対応","","スマホ対応","ITP対応済","","不可","ゲーム","","",""
