domain,availability,registrar,expiry,link_count,years_seen,genre,memo,sample_anchor,sample_source_url,whois_excerpt
verabradfan.com,available,,,5,"2015,2016,2017",,,ヴェラファンブログ,http://www.japan-affiliate.org/news/honki2014panel/,"No match for domain ""VERABRADFAN.COM""."
atbijin.com,available,,,4,"2014,2015",,,http://atbijin.com/index.html,http://www.japan-affiliate.org/regular/papinen/,"No match for domain ""ATBIJIN.COM""."
cinderella-story.biz,available,,,4,"2015,2017",,,プレゼント本舗,http://www.japan-affiliate.org/news/kansai201205/,No Data Found
hokkaido-umai.biz,available,,,4,"2015,2016,2017",,,北海道うまいbiz,http://www.japan-affiliate.org/news/honki2014panel/,No Data Found
idobata365.net,available,,,4,"2014,2016",,,http://idobata365.net/,http://www.japan-affiliate.org/regular/kuchikomihouse/,"No match for domain ""IDOBATA365.NET""."
kimono-no-kitsuke.com,available,,,4,"2014,2016",,,http://www.kimono-no-kitsuke.com/,http://www.japan-affiliate.org:80/regular/ko-harubiyori/,"No match for domain ""KIMONO-NO-KITSUKE.COM""."
kirei-dokoro.com,available,,,4,"2014,2015",,,http://www.kirei-dokoro.com/beauty/,http://www.japan-affiliate.org/regular/reebird/,"No match for domain ""KIREI-DOKORO.COM""."
linkshare.okweb3.jp,available,,,4,"2014,2015,2016,2017",,,お問い合わせフォーム,http://www.japan-affiliate.org/regular/linkshare/,[ JPRS database provides information on network administration. Its use is    ]
mutenkakosume.com,available,,,4,"2014,2015",,,http://mutenkakosume.com/,http://www.japan-affiliate.org/regular/papinen/,"No match for domain ""MUTENKAKOSUME.COM""."
pedier.com,available,,,4,"2014,2016",,,http://pedier.com/,http://www.japan-affiliate.org/regular/kuchikomihouse/,"No match for domain ""PEDIER.COM""."
schoolchildren-hakama.net,available,,,4,"2014,2016",,,http://schoolchildren-hakama.net/,http://www.japan-affiliate.org:80/regular/ko-harubiyori/,"No match for domain ""SCHOOLCHILDREN-HAKAMA.NET""."
egg-to-communication.com,available,,,3,2016,,,http://www.egg-to-communication.com/,http://www.japan-affiliate.org:80/regular/egg-to-communication/,"No match for domain ""EGG-TO-COMMUNICATION.COM""."
gaishikei.biz,available,,,3,"2014,2015,2016",,,,http://www.japan-affiliate.org/regular/toshihiro/,No Data Found
hbfas.com,available,,,3,"2014,2015,2016",,,,http://www.japan-affiliate.org:80/regular/hbfas/,"No match for domain ""HBFAS.COM""."
aspindex.net,available,,,2,2014,,,http://aspindex.net/af/,http://www.japan-affiliate.org:80/regular/kyamamu/,"No match for domain ""ASPINDEX.NET""."
bijin.uranaie.com,available,,,2,"2014,2015",,,,http://www.japan-affiliate.org/regular/papinen/,"No match for ""BIJIN.URANAIE.COM""."
blog.goo.ne.jp,available,,,2,"2014,2016",,,,http://www.japan-affiliate.org/regular/kirimarunaomi/,[ JPRS database provides information on network administration. Its use is    ]
douga.rakuten.ne.jp,available,,,2,"2015,2017",,,http://douga.rakuten.ne.jp/userranking.jsp?srt=revenue,http://www.japan-affiliate.org/news/douga201409/,[ JPRS database provides information on network administration. Its use is    ]
fbc-forum.com,available,,,2,2016,,,FBCフォーラム（2号室）,http://www.japan-affiliate.org/topics/1stkouzamain/,"No match for domain ""FBC-FORUM.COM""."
fujius2.ec-net.jp,available,,,2,"2016,2017",,,http://fujius2.ec-net.jp/,http://www.japan-affiliate.org:80/news/osaka2016/,[ JPRS database provides information on network administration. Its use is    ]
hiv-aids-kensa.com,available,,,2,"2015,2016",,,,http://www.japan-affiliate.org/regular/hiv-aids-kensa/,"No match for domain ""HIV-AIDS-KENSA.COM""."
internet-wimax.net,available,,,2,2015,,,http://www.internet-wimax.net/,http://www.japan-affiliate.org/regular/shimamasa1227-bcg/,"No match for domain ""INTERNET-WIMAX.NET""."
kankokucosme-hajimete.com,available,,,2,2014,,,http://kankokucosme-hajimete.com/,http://www.japan-affiliate.org/regular/coco-style/,"No match for domain ""KANKOKUCOSME-HAJIMETE.COM""."
kuchikomihouse.com,available,,,2,"2014,2016",,,,http://www.japan-affiliate.org/regular/kuchikomihouse/,"No match for domain ""KUCHIKOMIHOUSE.COM""."
mile.card-index.net,available,,,2,2014,,,http://mile.card-index.net,http://www.japan-affiliate.org:80/regular/kyamamu/,"No match for ""MILE.CARD-INDEX.NET""."
minnanokaigishitsu.com,available,,,2,2017,,,みんなの会議室　渋谷宮益坂,http://www.japan-affiliate.org/news/1stkouza20170427/,"No match for domain ""MINNANOKAIGISHITSU.COM""."
p-u.or.jp,available,,,2,"2016,2017",,,一般社団法人プレスマンユニオン,http://www.japan-affiliate.org:80/news/osaka2016/,[ JPRS database provides information on network administration. Its use is    ]
shake-scene.net,available,,,2,2014,,,お問い合わせフォーム,http://www.japan-affiliate.org/regular/shake-scene/,"No match for domain ""SHAKE-SCENE.NET""."
water-start.com,available,,,2,2015,,,http://water-start.com/,http://www.japan-affiliate.org/regular/shimamasa1227-bcg/,"No match for domain ""WATER-START.COM""."
www4.ocn.ne.jp,available,,,2,"2015,2017",,,http://www4.ocn.ne.jp/~us-2/,http://www.japan-affiliate.org/news/kansai201205/,[ JPRS database provides information on network administration. Its use is    ]
hajimete-korea.com,available,,,1,2014,,,http://hajimete-korea.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for domain ""HAJIMETE-KOREA.COM""."
ibs-tyugakusei.com,available,,,1,2014,,,http://ibs-tyugakusei.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for domain ""IBS-TYUGAKUSEI.COM""."
johoine.com,available,,,1,2014,,,http://johoine.com/nekokeshampoo/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for domain ""JOHOINE.COM""."
kabuu-db.com,available,,,1,2015,,,株主優待データベース,http://www.japan-affiliate.org/news/kobe201503support/,"No match for domain ""KABUU-DB.COM""."
micoblo.com,available,,,1,2017,,,,http://www.japan-affiliate.org/regular/micoblo/,"No match for domain ""MICOBLO.COM""."
momjjangdiet.tiara21.net,available,,,1,2017,,,本気で体臭対策！衣類に急速イオン消臭スプレー【ヌーラ】をかけるだけ,http://www.japan-affiliate.org/news/writing1507/,"No match for ""MOMJJANGDIET.TIARA21.NET""."
nenkin-sumaho.com,available,,,1,2017,,,シニアの格安スマホ通販ナビ,http://www.japan-affiliate.org/news/yokohama1603/,"No match for domain ""NENKIN-SUMAHO.COM""."
oldlens.itiho.com,available,,,1,2014,,,http://oldlens.itiho.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for ""OLDLENS.ITIHO.COM""."
oseibo-time.com,available,,,1,2014,,,http://oseibo-time.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for domain ""OSEIBO-TIME.COM""."
pretty-cool.net,available,,,1,2015,,,http://pretty-cool.net/,http://www.japan-affiliate.org/news/douga201409/,"No match for domain ""PRETTY-COOL.NET""."
sheercover.jp,available,,,1,2015,,,http://sheercover.jp/,http://www.japan-affiliate.org/regular/proactiv/,[ JPRS database provides information on network administration. Its use is    ]
shimanami-challenge.com,available,,,1,2014,,,http://shimanami-challenge.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for domain ""SHIMANAMI-CHALLENGE.COM""."
tabijoho.jp,available,,,1,2014,,,http://tabijoho.jp/fukuoka/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,[ JPRS database provides information on network administration. Its use is    ]
terrine.laaboo.com,available,,,1,2014,,,http://terrine.laaboo.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for ""TERRINE.LAABOO.COM""."
umo-shuno.enj0y-life.com,available,,,1,2014,,,http://umo-shuno.enj0y-life.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for ""UMO-SHUNO.ENJ0Y-LIFE.COM""."
xn--het281ah6b7uyh5lh1g.com,available,,,1,2014,,,http://xn--het281ah6b7uyh5lh1g.com/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,"No match for domain ""XN--HET281AH6B7UYH5LH1G.COM""."
yorozu-writing.com,available,,,1,2017,,,YOROZU Writing,http://www.japan-affiliate.org/news/writing1507/,"No match for domain ""YOROZU-WRITING.COM""."
caa.go.jp,unknown,,,74,"2014,2015,2016,2017",,,インターネット消費者取引に係る広告表示に関する景品表示法上の問題点及び留意事項,http://www.japan-affiliate.org:80/policy/,[ JPRS database provides information on network administration. Its use is    ]
nta.go.jp,unknown,,,37,"2014,2015",,,http://www.nta.go.jp/kohyo/press/press/2013/shotoku_shohi/sanko04_05.htm,http://www.japan-affiliate.org:80/topics/fromnta2014/,[ JPRS database provides information on network administration. Its use is    ]
kokusen.go.jp,unknown,,,10,"2014,2015,2016,2017",,,http://www.kokusen.go.jp/news/data/n-20100317_2.html,http://www.japan-affiliate.org:80/join/jyouhousyouzai/,[ JPRS database provides information on network administration. Its use is    ]
pref.shizuoka.jp,unknown,,,10,"2016,2017",,,https://www.pref.shizuoka.jp/sangyou/sa-210/sisetu/tizuryoukin.html#sizuoka,http://www.japan-affiliate.org/news/shizuoka1611/,[ JPRS database provides information on network administration. Its use is    ]
yayoi-kk.co.jp,unknown,,,10,"2015,2016,2017",,,やよいの青色申告 オンライン,http://www.japan-affiliate.org:80/news/afkakutei2015/,[ JPRS database provides information on network administration. Its use is    ]
jasrac.or.jp,unknown,,,8,"2014,2016",,,http://www.jasrac.or.jp/release/14/05_1.html,http://www.japan-affiliate.org:80/news/jasracasp1405/,[ JPRS database provides information on network administration. Its use is    ]
kanreki.info,unknown,,,8,"2015,2017",,,還暦祝い本舗,http://www.japan-affiliate.org/news/kansai201205/,TLD is not supported.
metro.tokyo.jp,unknown,,,8,"2014,2015,2016,2017",,,http://www.metro.tokyo.jp/INET/OSHIRASE/2010/09/20k92200.htm,http://www.japan-affiliate.org:80/join/jyouhousyouzai/,[ JPRS database provides information on network administration. Its use is    ]
ne.jp,unknown,,,7,"2014,2015,2016,2017",,,http://www.ne.jp/asahi/million/hp/,http://www.japan-affiliate.org/regular/millioncom/,[ JPRS database provides information on network administration. Its use is    ]
call-op.info,unknown,,,6,"2014,2015,2017",,,http://call-op.info/,http://www.japan-affiliate.org/regular/kirei-love-tky/,TLD is not supported.
iimono.love-tky.info,unknown,,,6,"2014,2015,2017",,,http://iimono.love-tky.info/,http://www.japan-affiliate.org/regular/kirei-love-tky/,Malformed request.
kodomo-ryokou.info,unknown,,,6,"2014,2015,2016",,,http://kodomo-ryokou.info/,http://www.japan-affiliate.org:80/regular/kuchikomi-life/,TLD is not supported.
kuchikomi-life.info,unknown,,,6,"2014,2015,2016",,,お問い合わせフォーム,http://www.japan-affiliate.org:80/regular/kuchikomi-life/,TLD is not supported.
osetino.info,unknown,,,6,"2014,2015,2016",,,http://osetino.info/,http://www.japan-affiliate.org:80/regular/norari/,TLD is not supported.
takuhaigohan.love-tky.info,unknown,,,6,"2014,2015,2017",,,http://takuhaigohan.love-tky.info/,http://www.japan-affiliate.org/regular/kirei-love-tky/,Malformed request.
ibuki-sendai.co.jp,unknown,,,5,"2014,2015,2016,2017",,,http://www.ibuki-sendai.co.jp/listNozomi.html,http://www.japan-affiliate.org:80/news/tohoku201407/,[ JPRS database provides information on network administration. Its use is    ]
kirei.love-tky.info,unknown,,,3,"2014,2015,2017",,,,http://www.japan-affiliate.org/regular/kirei-love-tky/,Malformed request.
npa.go.jp,unknown,,,3,"2014,2016,2017",,,総合セキュリティ対策会議,http://www.japan-affiliate.org:80/policy/,[ JPRS database provides information on network administration. Its use is    ]
senshukai.co.jp,unknown,,,3,"2015,2016,2017",,,株式会社千趣会,http://www.japan-affiliate.org:80/about/,[ JPRS database provides information on network administration. Its use is    ]
pref.kyoto.jp,unknown,,,2,"2016,2017",,,京都府消費生活安全センター,http://www.japan-affiliate.org/news/kyotoshohi1611/,[ JPRS database provides information on network administration. Its use is    ]
ntabi.info,unknown,,,1,2014,,,http://ntabi.info/halfday/beppu/,http://www.japan-affiliate.org:80/topics/minisite1408repo/,TLD is not supported.
xmax.jp,taken,"Septeni CrossGate Co.,Ltd.",,25,"2014,2015,2016,2017",,,http://www.xmax.jp/,http://www.japan-affiliate.org/news/tohoku201307support/,[ JPRS database provides information on network administration. Its use is    ]
luvp-planet.com,taken,"eNom, LLC",2027-04-02T12:58:47Z,14,"2016,2017",,,ラブピープラネット（ラブピー・プラネット株式会社）,http://www.japan-affiliate.org:80/news/chiba1607/,Domain Name: LUVP-PLANET.COM
osakaawaziguide-tororo.com,taken,"XServer, Inc.",2026-02-17T14:03:44Z,6,"2014,2015,2016",,,http://www.osakaawaziguide-tororo.com/,http://www.japan-affiliate.org/regular/goodnotepc/,Domain Name: OSAKAAWAZIGUIDE-TORORO.COM
kawagoejob.net,taken,"XServer, Inc.",2026-02-15T04:23:21Z,4,"2014,2015",,,http://www.kawagoejob.net/,http://www.japan-affiliate.org/regular/seker/,Domain Name: KAWAGOEJOB.NET
omni7.jp,taken,"Seven & i Holdings Co., Ltd",,4,"2016,2017",,,オムニ7（株式会社セブン&アイ・ホールディングス）,http://www.japan-affiliate.org:80/news/seikaup1606/,[ JPRS database provides information on network administration. Its use is    ]
otoko-mono.com,taken,"GoDaddy.com, LLC",2026-09-19T02:59:46Z,4,"2014,2016",,,http://otoko-mono.com/,http://www.japan-affiliate.org/regular/kirimarunaomi/,Domain Name: OTOKO-MONO.COM
tsrental.jp,taken,Gatsby Inc.,,4,"2015,2016,2017",,,http://www.tsrental.jp/location/asia/access.html,http://www.japan-affiliate.org/news/honki2012/,[ JPRS database provides information on network administration. Its use is    ]
goship.jp,taken,(Not displayed by registrant's request),,3,"2014,2016,2017",,,Goship!WORLD,http://www.japan-affiliate.org/news/131202_manabukai/,[ JPRS database provides information on network administration. Its use is    ]
leaffi.jp,taken,(Not displayed by registrant's request),,2,"2014,2015",,,リーフィー,http://www.japan-affiliate.org/regular/shouten-ph/,[ JPRS database provides information on network administration. Its use is    ]
grj.jp,taken,Guthy-Renker LLC,,1,2015,,,http://www.grj.jp/wen/,http://www.japan-affiliate.org/regular/proactiv/,[ JPRS database provides information on network administration. Its use is    ]
hangakuika.com,taken,"GMO Internet Group, Inc. d/b/a Onamae.com",2026-11-06T05:30:10Z,1,2015,,,半額以下.com,http://www.japan-affiliate.org/news/kobe201503support/,Domain Name: HANGAKUIKA.COM
